Id,Uptime,Host,Port,Debug,Emitted,Transferred,Capacity (last 10m),Execute latency (ms),Executed,Process latency (ms),Acked,Failed
[26-26],3m 39s,10.3.0.22,6711,files,960,960,0.935,208.857,980,0,0,0
[31-31],3m 39s,10.3.0.22,6709,files,980,980,0.918,209.396,960,0,0,0
[36-36],3m 39s,10.3.0.22,6712,files,980,980,0.941,210.327,980,0,0,0
[41-41],3m 39s,10.3.0.22,6710,files,980,980,0.937,209.286,980,0,0,0
[46-46],3m 39s,10.3.0.22,6711,files,980,980,0.945,211.122,980,0,0,0
[51-51],3m 39s,10.3.0.22,6709,files,960,960,0.945,211.224,980,0,0,0
[56-56],3m 39s,10.3.0.22,6712,files,980,980,0.941,210.265,980,0,0,0
[61-61],3m 39s,10.3.0.22,6710,files,980,980,0.918,209.375,960,0,0,0
[23-23],3m 40s,10.3.0.25,6736,files,960,960,0.944,211.98,980,0,0,0
[28-28],3m 39s,10.3.0.25,6733,files,960,960,0.924,210.75,960,0,0,0
[33-33],3m 39s,10.3.0.25,6735,files,960,960,0.954,213.286,980,0,0,0
[38-38],3m 40s,10.3.0.25,6734,files,1000,1000,0.934,209.612,980,0,0,0
[43-43],3m 40s,10.3.0.25,6736,files,980,980,0.929,212.917,960,0,0,0
[48-48],3m 39s,10.3.0.25,6733,files,980,980,0.942,210.531,980,0,0,0
[53-53],3m 39s,10.3.0.25,6735,files,960,960,0.928,211.75,960,0,0,0
[58-58],3m 40s,10.3.0.25,6734,files,980,980,0.937,210.347,980,0,0,0
[24-24],3m 43s,10.3.0.30,6720,files,980,980,0.906,210.458,960,0,0,0
[29-29],3m 43s,10.3.0.30,6718,files,1000,1000,0.92,209.429,980,0,0,0
[34-34],3m 42s,10.3.0.30,6719,files,980,980,0.921,208.735,980,0,0,0
[39-39],3m 42s,10.3.0.30,6717,files,960,960,0.928,210.122,980,0,0,0
[44-44],3m 43s,10.3.0.30,6720,files,980,980,0.925,210.592,980,0,0,0
[49-49],3m 43s,10.3.0.30,6718,files,1000,1000,0.923,210.041,980,0,0,0
[54-54],3m 42s,10.3.0.30,6719,files,980,980,0.985,223.122,980,0,0,0
[59-59],3m 42s,10.3.0.30,6717,files,960,960,0.924,209.245,980,0,0,0
[22-22],3m 39s,10.3.0.31,6725,files,960,960,0.945,211.163,980,0,0,0
[27-27],3m 40s,10.3.0.31,6727,files,960,960,0.922,211.229,960,0,0,0
[32-32],3m 40s,10.3.0.31,6726,files,960,960,0.93,213.229,960,0,0,0
[37-37],3m 40s,10.3.0.31,6728,files,980,980,0.941,211.163,980,0,0,0
[42-42],3m 39s,10.3.0.31,6725,files,980,980,1.2,268.163,980,0,0,0
[47-47],3m 40s,10.3.0.31,6727,files,940,940,0.943,211.612,980,0,0,0
[52-52],3m 40s,10.3.0.31,6726,files,960,960,1.201,269.531,980,0,0,0
[57-57],3m 40s,10.3.0.31,6728,files,980,980,0.999,224.224,980,0,0,0
[25-25],3m 42s,10.3.0.35,6741,files,980,980,0.999,226.367,980,0,0,0
[30-30],3m 42s,10.3.0.35,6742,files,980,980,0.924,209.388,980,0,0,0
[35-35],3m 42s,10.3.0.35,6743,files,0,0,0,0,0,0,0,0
[40-40],3m 42s,10.3.0.35,6744,files,980,980,0.926,209.857,980,0,0,0
[45-45],3m 42s,10.3.0.35,6741,files,980,980,0.926,209.735,980,0,0,0
[50-50],3m 42s,10.3.0.35,6742,files,980,980,0.948,210.4,1000,0,0,0
[55-55],3m 42s,10.3.0.35,6743,files,20,20,0,0,0,0,0,0
[60-60],3m 42s,10.3.0.35,6744,files,980,980,0.922,208.857,980,0,0,0
