Id,Uptime,Host,Port,Debug,Emitted,Transferred,Capacity (last 10m),Execute latency (ms),Executed,Process latency (ms),Acked,Failed
[71-71],3m 9s,10.3.0.22,6709,files,680,680,0.917,247.629,700,0,0,0
[76-76],3m 9s,10.3.0.22,6712,files,700,700,0.946,255.4,700,0,0,0
[81-81],3m 9s,10.3.0.22,6710,files,700,700,0.926,250.057,700,0,0,0
[86-86],3m 9s,10.3.0.22,6711,files,680,680,0.949,263.647,680,0,0,0
[91-91],3m 9s,10.3.0.22,6709,files,700,700,0.953,257.229,700,0,0,0
[68-68],3m 9s,10.3.0.25,6733,files,700,700,0.964,260.314,700,0,0,0
[73-73],3m 9s,10.3.0.25,6735,files,680,680,1.15,310.486,700,0,0,0
[78-78],3m 9s,10.3.0.25,6734,files,700,700,0.935,252.514,700,0,0,0
[83-83],3m 9s,10.3.0.25,6736,files,700,700,0.925,242.833,720,0,0,0
[88-88],3m 9s,10.3.0.25,6733,files,680,680,0.94,253.8,700,0,0,0
[93-93],3m 9s,10.3.0.25,6735,files,700,700,0.904,243.971,700,0,0,0
[69-69],3m 12s,10.3.0.30,6718,files,700,700,0.859,235.657,700,0,0,0
[74-74],3m 12s,10.3.0.30,6719,files,720,720,1.157,308.528,720,0,0,0
[79-79],3m 12s,10.3.0.30,6717,files,700,700,0.919,252.086,700,0,0,0
[84-84],3m 12s,10.3.0.30,6720,files,700,700,0.938,250.222,720,0,0,0
[89-89],3m 12s,10.3.0.30,6718,files,720,720,0.895,245.486,700,0,0,0
[67-67],3m 9s,10.3.0.31,6727,files,700,700,0.929,250.714,700,0,0,0
[72-72],3m 9s,10.3.0.31,6726,files,700,700,0.926,249.943,700,0,0,0
[77-77],3m 9s,10.3.0.31,6728,files,700,700,0.944,254.771,700,0,0,0
[82-82],3m 9s,10.3.0.31,6725,files,700,700,0.976,263.429,700,0,0,0
[87-87],3m 9s,10.3.0.31,6727,files,700,700,0.936,252.629,700,0,0,0
[92-92],3m 9s,10.3.0.31,6726,files,680,680,0.916,254.529,680,0,0,0
[70-70],3m 12s,10.3.0.35,6742,files,700,700,0.893,238.056,720,0,0,0
[75-75],3m 12s,10.3.0.35,6743,files,20,20,0.092,882,20,0,0,0
[80-80],3m 12s,10.3.0.35,6744,files,700,700,0.921,245.528,720,0,0,0
[85-85],3m 12s,10.3.0.35,6741,files,680,680,0.915,243.889,720,0,0,0
[90-90],3m 12s,10.3.0.35,6742,files,700,700,0.922,253,700,0,0,0
