Id,Uptime,Host,Port,Debug,Emitted,Transferred,Capacity (last 10m),Execute latency (ms),Executed,Process latency (ms),Acked,Failed
[42-42],7m 3s,10.3.0.25,6735,files,1860,1860,0.975,221.742,1860,0,0,0
[43-43],7m 3s,10.3.0.31,6727,files,1780,1780,1.022,242.955,1780,0,0,0
[44-44],7m 6s,10.3.0.35,6744,files,1840,1840,0.966,218.947,1880,0,0,0
[45-45],7m 3s,10.3.0.25,6733,files,1800,1800,0.977,227.121,1820,0,0,0
[46-46],7m 2s,10.3.0.35,6743,files,1840,1840,0.972,222.957,1840,0,0,0
[47-47],7m 2s,10.3.0.35,6742,files,1800,1800,0.962,225.644,1800,0,0,0
[48-48],7m 3s,10.3.0.22,6711,files,1760,1760,0.995,239.08,1760,0,0,0
[49-49],7m 3s,10.3.0.22,6709,files,40,40,0.066,463.667,60,0,0,0
[50-50],7m 3s,10.3.0.22,6710,files,1880,1880,1.133,254.926,1880,0,0,0
[51-51],7m 3s,10.3.0.25,6734,files,1880,1880,0.964,219.14,1860,0,0,0
[52-52],7m 3s,10.3.0.25,6736,files,1880,1880,0.97,218.223,1880,0,0,0
[53-53],7m 6s,10.3.0.35,6744,files,1880,1880,0.986,225.86,1860,0,0,0
[54-54],7m 3s,10.3.0.25,6734,files,1880,1880,0.97,220.591,1860,0,0,0
[55-55],7m 2s,10.3.0.35,6742,files,1800,1800,0.961,225.322,1800,0,0,0
[56-56],7m 3s,10.3.0.22,6712,files,1760,1760,0.994,239,1760,0,0,0
[57-57],7m 3s,10.3.0.22,6712,files,1900,1900,0.985,219.189,1900,0,0,0
[58-58],7m 3s,10.3.0.22,6710,files,1880,1880,1.005,223.653,1900,0,0,0
[59-59],7m 3s,10.3.0.22,6709,files,60,60,0.032,229,60,0,0,0
[60-60],7m 3s,10.3.0.25,6736,files,1860,1860,0.998,227.043,1860,0,0,0
[61-61],7m 3s,10.3.0.25,6735,files,1880,1880,0.979,222.548,1860,0,0,0
[62-62],7m 3s,10.3.0.25,6733,files,1840,1840,1.011,232.326,1840,0,0,0
[63-63],7m 2s,10.3.0.35,6741,files,1720,1720,0.977,234.284,1760,0,0,0
[64-64],7m 2s,10.3.0.35,6741,files,1740,1740,0.978,237.149,1740,0,0,0
[65-65],7m 2s,10.3.0.35,6743,files,1820,1820,0.999,231.615,1820,0,0,0
