Id,Uptime,Host,Port,Debug,Emitted,Transferred,Capacity (last 10m),Execute latency (ms),Executed,Process latency (ms),Acked,Failed
[101-101],1m 50s,10.3.0.22,6710,files,60,60,0.255,466.667,60,0,0,0
[106-106],1m 49s,10.3.0.22,6711,files,60,60,0.115,209,60,0,0,0
[111-111],1m 49s,10.3.0.22,6709,files,40,40,0.085,231,40,0,0,0
[116-116],1m 49s,10.3.0.22,6712,files,60,60,0.116,210.667,60,0,0,0
[121-121],1m 50s,10.3.0.22,6710,files,60,60,0.115,211.333,60,0,0,0
[126-126],1m 49s,10.3.0.22,6711,files,60,60,0.117,211.667,60,0,0,0
[131-131],1m 49s,10.3.0.22,6709,files,60,60,0.258,468.333,60,0,0,0
[136-136],1m 49s,10.3.0.22,6712,files,80,80,0.117,211.667,60,0,0,0
[141-141],1m 50s,10.3.0.22,6710,files,40,40,0.081,222,40,0,0,0
[146-146],1m 49s,10.3.0.22,6711,files,60,60,0.267,484.667,60,0,0,0
[151-151],1m 49s,10.3.0.22,6709,files,40,40,0.262,476.667,60,0,0,0
[156-156],1m 49s,10.3.0.22,6712,files,60,60,0.181,329.333,60,0,0,0
[161-161],1m 50s,10.3.0.22,6710,files,60,60,0.115,210,60,0,0,0
[166-166],1m 49s,10.3.0.22,6711,files,80,80,0.155,211,80,0,0,0
[171-171],1m 49s,10.3.0.22,6709,files,60,60,0.248,450,60,0,0,0
[176-176],1m 49s,10.3.0.22,6712,files,60,60,0.118,213.667,60,0,0,0
[181-181],1m 50s,10.3.0.22,6710,files,60,60,0.249,456.667,60,0,0,0
[186-186],1m 49s,10.3.0.22,6711,files,60,60,0.117,212.333,60,0,0,0
[191-191],1m 49s,10.3.0.22,6709,files,60,60,0.523,949.667,60,0,0,0
[196-196],1m 49s,10.3.0.22,6712,files,60,60,0.115,209.667,60,0,0,0
[201-201],1m 50s,10.3.0.22,6710,files,60,60,0.307,422.25,80,0,0,0
[206-206],1m 49s,10.3.0.22,6711,files,60,60,1.056,1918,60,0,0,0
[211-211],1m 49s,10.3.0.22,6709,files,60,60,0.077,209,40,0,0,0
[216-216],1m 49s,10.3.0.22,6712,files,40,40,0.376,682.333,60,0,0,0
[221-221],1m 50s,10.3.0.22,6710,files,60,60,0.527,967,60,0,0,0
[226-226],1m 49s,10.3.0.22,6711,files,60,60,0.08,218,40,0,0,0
[231-231],1m 49s,10.3.0.22,6709,files,60,60,0.116,211,60,0,0,0
[236-236],1m 49s,10.3.0.22,6712,files,60,60,0.265,481.667,60,0,0,0
[241-241],1m 50s,10.3.0.22,6710,files,80,80,0.115,210.333,60,0,0,0
[246-246],1m 49s,10.3.0.22,6711,files,60,60,0.117,212,60,0,0,0
[251-251],1m 49s,10.3.0.22,6709,files,60,60,0.115,209.333,60,0,0,0
[256-256],1m 49s,10.3.0.22,6712,files,60,60,1.146,2081.667,60,0,0,0
[26-26],1m 49s,10.3.0.22,6711,files,40,40,0.213,579.5,40,0,0,0
