Id,Uptime,Host,Port,Debug,Emitted,Transferred,Capacity (last 10m),Execute latency (ms),Executed,Process latency (ms),Acked,Failed
[356-356],57s,10.3.0.22,6712,files,2300,2300,0.746,18.336,2320,0,0,0
[361-361],58s,10.3.0.22,6710,files,1860,1860,0.571,17.806,1860,0,0,0
[366-366],57s,10.3.0.22,6711,files,2280,2280,0.681,17.035,2280,0,0,0
[353-353],57s,10.3.0.25,6735,files,2300,2300,0.723,17.913,2300,0,0,0
[358-358],57s,10.3.0.25,6734,files,2280,2280,0.689,17.07,2300,0,0,0
[363-363],58s,10.3.0.25,6736,files,2120,2120,0.703,19.065,2140,0,0,0
[354-354],1m 0s,10.3.0.30,6719,files,2600,2600,0.565,13.038,2600,0,0,0
[359-359],59s,10.3.0.30,6717,files,2500,2500,0.613,14.589,2480,0,0,0
[364-364],59s,10.3.0.30,6720,files,2600,2600,0.6,13.623,2600,0,0,0
[357-357],57s,10.3.0.31,6728,files,2200,2200,0.59,15.282,2200,0,0,0
[362-362],58s,10.3.0.31,6725,files,2260,2260,0.742,19.214,2240,0,0,0
[367-367],56s,10.3.0.31,6727,files,2260,2260,0.802,20.045,2240,0,0,0
[355-355],1m 0s,10.3.0.35,6743,files,2540,2540,0.634,14.859,2560,0,0,0
[360-360],59s,10.3.0.35,6744,files,2440,2440,0.589,14.238,2440,0,0,0
[365-365],1m 0s,10.3.0.35,6741,files,2460,2460,0.684,16.683,2460,0,0,0
