Id,Uptime,Host,Port,Debug,Emitted,Transferred,Capacity (last 10m),Execute latency (ms),Executed,Process latency (ms),Acked,Failed
[371-371],2m 31s,10.3.0.22,6709,files,80,80,0.351,529.8,100,0,0,0
[376-376],2m 29s,10.3.0.22,6712,files,100,100,0.245,365,100,0,0,0
[381-381],2m 30s,10.3.0.22,6710,files,80,80,0.264,494.5,80,0,0,0
[386-386],2m 29s,10.3.0.22,6711,files,100,100,0.457,680.6,100,0,0,0
[391-391],2m 31s,10.3.0.22,6709,files,80,80,0.389,587.8,100,0,0,0
[396-396],2m 29s,10.3.0.22,6712,files,80,80,0.166,309.25,80,0,0,0
[401-401],2m 30s,10.3.0.22,6710,files,80,80,0.16,300.5,80,0,0,0
[406-406],2m 29s,10.3.0.22,6711,files,100,100,0.241,359.2,100,0,0,0
[411-411],2m 31s,10.3.0.22,6709,files,100,100,0.207,312.4,100,0,0,0
[416-416],2m 29s,10.3.0.22,6712,files,100,100,0.429,639.2,100,0,0,0
[421-421],2m 30s,10.3.0.22,6710,files,80,80,0.217,406.25,80,0,0,0
[426-426],2m 29s,10.3.0.22,6711,files,100,100,0.443,659.4,100,0,0,0
[431-431],2m 31s,10.3.0.22,6709,files,100,100,0.418,630.6,100,0,0,0
[436-436],2m 29s,10.3.0.22,6712,files,60,60,0.087,216.667,60,0,0,0
[441-441],2m 30s,10.3.0.22,6710,files,100,100,0.782,1172.6,100,0,0,0
[446-446],2m 29s,10.3.0.22,6711,files,100,100,0.226,421,80,0,0,0
[451-451],2m 31s,10.3.0.22,6709,files,100,100,0.39,588.6,100,0,0,0
[456-456],2m 29s,10.3.0.22,6712,files,80,80,0.613,761,120,0,0,0
[461-461],2m 30s,10.3.0.22,6710,files,80,80,0.29,544,80,0,0,0
[466-466],2m 29s,10.3.0.22,6711,files,100,100,0.283,421.8,100,0,0,0
[471-471],2m 31s,10.3.0.22,6709,files,80,80,0.694,1047.2,100,0,0,0
[476-476],2m 29s,10.3.0.22,6712,files,100,100,0.149,278.25,80,0,0,0
[481-481],2m 30s,10.3.0.22,6710,files,120,120,0.418,626.8,100,0,0,0
[486-486],2m 29s,10.3.0.22,6711,files,80,80,0.33,492.4,100,0,0,0
[491-491],2m 31s,10.3.0.22,6709,files,100,100,0.252,475.25,80,0,0,0
[496-496],2m 29s,10.3.0.22,6712,files,80,80,0.432,805,80,0,0,0
[501-501],2m 30s,10.3.0.22,6710,files,100,100,0.218,409.25,80,0,0,0
[506-506],2m 29s,10.3.0.22,6711,files,80,80,0.199,297.2,100,0,0,0
[511-511],2m 31s,10.3.0.22,6709,files,60,60,0.181,341,80,0,0,0
[516-516],2m 29s,10.3.0.22,6712,files,100,100,0.331,411,120,0,0,0
[521-521],2m 30s,10.3.0.22,6710,files,80,80,0.372,557.6,100,0,0,0
[526-526],2m 29s,10.3.0.22,6711,files,100,100,1.009,1502.8,100,0,0,0
[531-531],2m 31s,10.3.0.22,6709,files,100,100,0.377,568.8,100,0,0,0
[536-536],2m 29s,10.3.0.22,6712,files,100,100,0.358,533.4,100,0,0,0
[541-541],2m 30s,10.3.0.22,6710,files,100,100,0.732,1097.4,100,0,0,0
[546-546],2m 29s,10.3.0.22,6711,files,100,100,0.123,228.75,80,0,0,0
