Id,Uptime,Host,Port,Debug,Emitted,Transferred,Capacity (last 10m),Execute latency (ms),Executed,Process latency (ms),Acked,Failed
[10-10],1m 59s,10.3.0.25,6735,files,80,80,0.373,739.667,60,0,0,0
[100-100],2m 3s,10.3.0.35,6742,files,60,60,0.272,418.25,80,0,0,0
[101-101],1m 59s,10.3.0.31,6728,files,80,80,0.37,734.333,60,0,0,0
[102-102],1m 58s,10.3.0.31,6726,files,60,60,0.144,425.5,40,0,0,0
[103-103],1m 59s,10.3.0.31,6728,files,60,60,0.183,545,40,0,0,0
[104-104],1m 59s,10.3.0.31,6728,files,60,60,0.346,686.667,60,0,0,0
[105-105],1m 59s,10.3.0.31,6728,files,60,60,0.442,656.75,80,0,0,0
[106-106],1m 58s,10.3.0.31,6726,files,40,40,0.262,773.5,40,0,0,0
[107-107],1m 58s,10.3.0.31,6726,files,60,60,0.175,515,40,0,0,0
[108-108],1m 58s,10.3.0.31,6726,files,60,60,0.375,736.667,60,0,0,0
[109-109],1m 58s,10.3.0.31,6726,files,60,60,0.517,1017,60,0,0,0
[11-11],1m 59s,10.3.0.25,6735,files,40,40,0.401,796,60,0,0,0
[110-110],1m 58s,10.3.0.31,6725,files,60,60,0.253,497.667,60,0,0,0
[111-111],1m 58s,10.3.0.31,6725,files,60,60,0.217,427.667,60,0,0,0
[112-112],1m 58s,10.3.0.31,6725,files,60,60,0.377,741,60,0,0,0
[113-113],1m 58s,10.3.0.31,6725,files,40,40,0.353,695,60,0,0,0
[114-114],1m 58s,10.3.0.31,6725,files,80,80,0.516,1014.667,60,0,0,0
[115-115],1m 58s,10.3.0.31,6725,files,60,60,0.425,627.25,80,0,0,0
[116-116],1m 58s,10.3.0.31,6725,files,60,60,0.216,425,60,0,0,0
[117-117],1m 59s,10.3.0.31,6728,files,60,60,0.354,702,60,0,0,0
[118-118],1m 59s,10.3.0.31,6728,files,80,80,0.374,741.333,60,0,0,0
[119-119],1m 58s,10.3.0.30,6717,files,60,60,0.216,424.667,60,0,0,0
[12-12],1m 59s,10.3.0.25,6735,files,60,60,0.153,456.5,40,0,0,0
[120-120],1m 58s,10.3.0.30,6717,files,80,80,0.214,421,60,0,0,0
[121-121],1m 58s,10.3.0.30,6717,files,60,60,0.37,727.667,60,0,0,0
[122-122],2m 1s,10.3.0.30,6718,files,60,60,0.212,427.667,60,0,0,0
[123-123],2m 1s,10.3.0.30,6718,files,60,60,0.139,419.5,40,0,0,0
[124-124],2m 1s,10.3.0.30,6718,files,60,60,0.356,718.667,60,0,0,0
[125-125],2m 1s,10.3.0.30,6718,files,80,80,0.277,419,80,0,0,0
[126-126],2m 1s,10.3.0.30,6718,files,40,40,0.558,843.75,80,0,0,0
[127-127],2m 1s,10.3.0.30,6718,files,80,80,0.337,679.333,60,0,0,0
[128-128],1m 59s,10.3.0.30,6719,files,40,40,0.146,435.5,40,0,0,0
[129-129],1m 59s,10.3.0.30,6719,files,60,60,0.348,689.333,60,0,0,0
[13-13],1m 59s,10.3.0.25,6735,files,80,80,0.377,747.667,60,0,0,0
[130-130],1m 59s,10.3.0.30,6719,files,60,60,0.365,723,60,0,0,0
[131-131],1m 59s,10.3.0.30,6719,files,60,60,0.365,723.667,60,0,0,0
[132-132],1m 59s,10.3.0.30,6719,files,60,60,0.211,418.333,60,0,0,0
[133-133],1m 59s,10.3.0.30,6719,files,60,60,0.442,1314.5,40,0,0,0
[134-134],1m 58s,10.3.0.30,6717,files,60,60,0.354,696,60,0,0,0
[135-135],1m 58s,10.3.0.30,6717,files,60,60,0.144,424,40,0,0,0
[136-136],1m 58s,10.3.0.30,6717,files,60,60,0.214,421,60,0,0,0
[137-137],1m 58s,10.3.0.30,6717,files,80,80,0.353,693.667,60,0,0,0
[138-138],2m 1s,10.3.0.30,6720,files,80,80,0.569,860.25,80,0,0,0
[139-139],2m 1s,10.3.0.30,6720,files,60,60,0.533,1074.333,60,0,0,0
[14-14],1m 59s,10.3.0.25,6735,files,40,40,0.301,896.5,40,0,0,0
[140-140],2m 1s,10.3.0.30,6720,files,40,40,0.209,422.333,60,0,0,0
[141-141],2m 1s,10.3.0.30,6720,files,60,60,0.213,430.333,60,0,0,0
[142-142],2m 1s,10.3.0.30,6720,files,60,60,0.337,680.333,60,0,0,0
[143-143],2m 1s,10.3.0.30,6720,files,60,60,0.704,1065.5,80,0,0,0
[144-144],1m 59s,10.3.0.30,6719,files,80,80,0.302,449.5,80,0,0,0
[145-145],2m 1s,10.3.0.30,6720,files,60,60,0.361,728,60,0,0,0
[146-146],1m 59s,10.3.0.30,6719,files,60,60,0.213,422.667,60,0,0,0
[147-147],1m 59s,10.3.0.25,6735,files,60,60,0.474,941,60,0,0,0
[148-148],1m 59s,10.3.0.25,6735,files,60,60,0.329,652.333,60,0,0,0
[149-149],1m 59s,10.3.0.25,6735,files,60,60,0.268,532,60,0,0,0
[15-15],1m 58s,10.3.0.25,6736,files,60,60,0.357,702.333,60,0,0,0
[150-150],1m 59s,10.3.0.25,6735,files,60,60,0.147,436.5,40,0,0,0
[151-151],1m 58s,10.3.0.25,6736,files,80,80,0.375,737.667,60,0,0,0
[152-152],1m 59s,10.3.0.25,6735,files,80,80,0.487,965,60,0,0,0
[153-153],1m 59s,10.3.0.25,6735,files,60,60,0.464,920.333,60,0,0,0
[154-154],1m 58s,10.3.0.25,6736,files,60,60,0.366,720,60,0,0,0
[155-155],1m 58s,10.3.0.25,6736,files,60,60,0.154,453.5,40,0,0,0
[156-156],1m 59s,10.3.0.22,6709,files,0,0,0,0,0,0,0,0
[157-157],1m 59s,10.3.0.22,6709,files,0,0,0,0,0,0,0,0
[158-158],1m 57s,10.3.0.25,6734,files,60,60,0.226,441.667,60,0,0,0
[159-159],2m 3s,10.3.0.35,6742,files,60,60,0.204,418.333,60,0,0,0
[16-16],1m 58s,10.3.0.25,6736,files,60,60,0.512,1006.333,60,0,0,0
[160-160],1m 57s,10.3.0.25,6734,files,40,40,0.338,493.75,80,0,0,0
[161-161],1m 57s,10.3.0.25,6734,files,60,60,0.146,428.5,40,0,0,0
[162-162],1m 57s,10.3.0.25,6734,files,60,60,2.073,3031.5,80,0,0,0
[163-163],1m 57s,10.3.0.25,6734,files,60,60,0.341,665.667,60,0,0,0
[164-164],1m 57s,10.3.0.25,6734,files,80,80,1.448,2823.667,60,0,0,0
[165-165],1m 58s,10.3.0.31,6726,files,80,80,0.529,1039.667,60,0,0,0
