Id,Uptime,Host,Port,Debug,Emitted,Transferred,Capacity (last 10m),Execute latency (ms),Executed,Process latency (ms),Acked,Failed
[334-334],4m 23s,10.3.0.22,6711,files,13740,13740,0.684,13.096,13740,0,0,0
[335-335],4m 23s,10.3.0.22,6711,files,13680,13680,0.707,13.616,13660,0,0,0
[336-336],4m 23s,10.3.0.22,6710,files,13840,13840,0.692,13.165,13820,0,0,0
[337-337],4m 23s,10.3.0.22,6710,files,13900,13900,0.679,12.867,13880,0,0,0
[338-338],4m 21s,10.3.0.22,6712,files,13740,13740,0.689,13.084,13740,0,0,0
[339-339],4m 25s,10.3.0.35,6743,files,13260,13260,0.854,17.1,13240,0,0,0
[340-340],4m 25s,10.3.0.35,6743,files,13320,13320,0.825,16.396,13340,0,0,0
[341-341],4m 26s,10.3.0.35,6742,files,13280,13280,0.832,16.675,13280,0,0,0
[342-342],4m 24s,10.3.0.35,6741,files,13280,13280,0.843,16.743,13300,0,0,0
[343-343],4m 24s,10.3.0.35,6741,files,13180,13180,0.848,16.994,13180,0,0,0
[344-344],4m 23s,10.3.0.35,6744,files,13280,13280,0.798,15.774,13300,0,0,0
[345-345],4m 23s,10.3.0.35,6744,files,13120,13120,0.846,16.968,13120,0,0,0
[346-346],4m 22s,10.3.0.25,6733,files,10200,10200,0.954,24.502,10200,0,0,0
[347-347],4m 22s,10.3.0.25,6733,files,10280,10280,0.92,23.457,10280,0,0,0
[348-348],4m 22s,10.3.0.22,6709,files,6820,6820,0.381,14.648,6820,0,0,0
