Id,Uptime,Host,Port,Debug,Emitted,Transferred,Capacity (last 10m),Execute latency (ms),Executed,Process latency (ms),Acked,Failed
[630-630],2m 38s,10.3.0.22,6709,files,0,0,0,0,0,0,0,0
[629-629],2m 38s,10.3.0.22,6709,files,0,0,0,0,0,0,0,0
[547-547],2m 38s,10.3.0.22,6709,files,0,0,0.119,941,20,0,0,0
[469-469],2m 38s,10.3.0.22,6709,files,0,0,0,0,0,0,0,0
[393-393],2m 38s,10.3.0.22,6709,files,0,0,0,0,0,0,0,0
[392-392],2m 38s,10.3.0.22,6709,files,0,0,0,0,0,0,0,0
[648-648],2m 39s,10.3.0.25,6736,files,100,100,0.267,424,100,0,0,0
[647-647],2m 39s,10.3.0.25,6736,files,80,80,0.32,636.25,80,0,0,0
[646-646],2m 39s,10.3.0.25,6736,files,100,100,0.358,569.8,100,0,0,0
[645-645],2m 39s,10.3.0.25,6736,files,80,80,0.238,378.6,100,0,0,0
[644-644],2m 39s,10.3.0.25,6736,files,80,80,0.239,474.5,80,0,0,0
[639-639],2m 39s,10.3.0.25,6735,files,100,100,0.284,451.6,100,0,0,0
[638-638],2m 37s,10.3.0.25,6734,files,100,100,0.352,553,100,0,0,0
[637-637],2m 39s,10.3.0.25,6735,files,100,100,0.271,431.2,100,0,0,0
[636-636],2m 39s,10.3.0.25,6735,files,100,100,0.547,869.8,100,0,0,0
[635-635],2m 39s,10.3.0.25,6735,files,100,100,0.151,240,100,0,0,0
[634-634],2m 39s,10.3.0.25,6735,files,100,100,0.262,415.8,100,0,0,0
[633-633],2m 39s,10.3.0.25,6735,files,80,80,0.267,423.8,100,0,0,0
[632-632],2m 39s,10.3.0.25,6736,files,80,80,0.23,456.25,80,0,0,0
[631-631],2m 39s,10.3.0.25,6735,files,100,100,0.479,761.2,100,0,0,0
[628-628],2m 37s,10.3.0.25,6734,files,100,100,0.341,669.75,80,0,0,0
[626-626],2m 37s,10.3.0.25,6734,files,100,100,0.564,886,100,0,0,0
[625-625],2m 37s,10.3.0.25,6734,files,100,100,0.329,516.8,100,0,0,0
[624-624],2m 37s,10.3.0.25,6734,files,80,80,1.452,2280.2,100,0,0,0
[623-623],2m 37s,10.3.0.25,6734,files,100,100,0.48,753.4,100,0,0,0
[622-622],2m 37s,10.3.0.25,6734,files,80,80,0.108,211.75,80,0,0,0
[546-546],2m 37s,10.3.0.25,6734,files,100,100,0.145,228,100,0,0,0
[543-543],2m 37s,10.3.0.25,6734,files,100,100,0.135,212.4,100,0,0,0
[542-542],2m 37s,10.3.0.25,6734,files,100,100,0.485,761.2,100,0,0,0
[541-541],2m 37s,10.3.0.25,6734,files,80,80,0.568,891,100,0,0,0
[540-540],2m 37s,10.3.0.25,6734,files,100,100,0.258,405.8,100,0,0,0
[539-539],2m 37s,10.3.0.25,6734,files,100,100,0.161,252.2,100,0,0,0
[538-538],2m 37s,10.3.0.25,6734,files,80,80,0.128,251,80,0,0,0
[537-537],2m 39s,10.3.0.25,6735,files,120,120,1.25,1655.667,120,0,0,0
[536-536],2m 39s,10.3.0.25,6735,files,100,100,0.113,224,80,0,0,0
[535-535],2m 39s,10.3.0.25,6735,files,120,120,0.472,625.667,120,0,0,0
[534-534],2m 39s,10.3.0.25,6735,files,80,80,0.688,911.333,120,0,0,0
[533-533],2m 39s,10.3.0.25,6735,files,60,60,0.545,1083.75,80,0,0,0
[532-532],2m 39s,10.3.0.25,6735,files,100,100,1.04,1653.4,100,0,0,0
[531-531],2m 39s,10.3.0.25,6735,files,100,100,0.176,279.6,100,0,0,0
[530-530],2m 39s,10.3.0.25,6736,files,100,100,0.233,463.75,80,0,0,0
[529-529],2m 39s,10.3.0.25,6736,files,100,100,0.133,212,100,0,0,0
[528-528],2m 39s,10.3.0.25,6736,files,100,100,0.461,732.2,100,0,0,0
[527-527],2m 39s,10.3.0.25,6736,files,100,100,0.54,1073.25,80,0,0,0
[526-526],2m 39s,10.3.0.25,6736,files,120,120,0.266,352.667,120,0,0,0
[525-525],2m 39s,10.3.0.25,6736,files,80,80,0.147,293,80,0,0,0
[475-475],2m 37s,10.3.0.25,6734,files,100,100,0.282,553.25,80,0,0,0
[474-474],2m 37s,10.3.0.25,6734,files,80,80,0.409,642.8,100,0,0,0
[473-473],2m 37s,10.3.0.25,6734,files,100,100,0.149,233.8,100,0,0,0
[472-472],2m 37s,10.3.0.25,6734,files,80,80,0.315,618.5,80,0,0,0
[471-471],2m 37s,10.3.0.25,6734,files,80,80,0.259,508.75,80,0,0,0
[468-468],2m 38s,10.3.0.25,6733,files,100,100,0.139,219.2,100,0,0,0
[466-466],2m 39s,10.3.0.25,6735,files,100,100,0.572,910,100,0,0,0
[465-465],2m 39s,10.3.0.25,6735,files,80,80,0.202,402,80,0,0,0
[464-464],2m 39s,10.3.0.25,6735,files,100,100,0.291,462.8,100,0,0,0
[463-463],2m 39s,10.3.0.25,6736,files,100,100,0.344,683.75,80,0,0,0
[462-462],2m 39s,10.3.0.25,6735,files,100,100,0.373,740.75,80,0,0,0
[461-461],2m 39s,10.3.0.25,6735,files,100,100,0.135,214,100,0,0,0
[460-460],2m 37s,10.3.0.25,6734,files,80,80,0.119,233.5,80,0,0,0
[459-459],2m 39s,10.3.0.25,6735,files,80,80,0.12,239.25,80,0,0,0
[458-458],2m 39s,10.3.0.25,6735,files,120,120,0.241,383.4,100,0,0,0
[457-457],2m 39s,10.3.0.25,6736,files,100,100,0.452,718.8,100,0,0,0
[456-456],2m 39s,10.3.0.25,6736,files,80,80,0.386,614,100,0,0,0
[452-452],2m 39s,10.3.0.25,6736,files,100,100,0.353,561.6,100,0,0,0
[451-451],2m 39s,10.3.0.25,6736,files,80,80,0.23,457.25,80,0,0,0
[450-450],2m 39s,10.3.0.25,6736,files,100,100,0.479,762.2,100,0,0,0
[449-449],2m 39s,10.3.0.25,6736,files,100,100,0.151,240.6,100,0,0,0
[448-448],2m 39s,10.3.0.25,6736,files,60,60,0.391,778,80,0,0,0
[402-402],2m 37s,10.3.0.25,6734,files,100,100,0.394,618.2,100,0,0,0
[401-401],2m 39s,10.3.0.25,6735,files,80,80,0.238,473.5,80,0,0,0
[400-400],2m 37s,10.3.0.25,6734,files,100,100,0.389,610.8,100,0,0,0
